Claim_Name;Judul_Berita;Hoax_Class;Sumber;Tanggal;Subject;Tema_Artikel
Claim by Berbagai sumber:;Video Jokowi berbahasa Mandarin ini adalah hasil manipulasi menggunakan AI;Salah;https://periksafakta.afp.com/doc.afp.com.33ZK9WV;Nov 2, 2023;Joko Widodo;Bahasa Mandarin
Claim by Beberapa sumber:;Foto Jokowi memegang lukisan berwajah Anies Baswedan;Salah;https://periksafakta.afp.com/doc.afp.com.33W666N;Sep 22, 2023;Joko Widodo;Anies Baswedan
Claim by Multiple source:;Anak DN Aidit provokasi Jokowi untuk habisi umat Muslim;salah;https://periksafakta.afp.com/doc.afp.com.33YG99N;Oct 19, 2023;D.N. Aidit;Joko Widodo
Claim by Berbagai sumber:;Presiden Joko Widodo menjenguk aktivis Ade Armando di rumah sakit;Salah;https://periksafakta.afp.com/doc.afp.com.328Y7NU;Apr 27, 2022;Ade Armando;Joko Widodo
Claim by Berbagai sumber:;Sekjen PBB Guterres tunjuk Presiden Jokowi sebagai penggantinya;Salah;https://periksafakta.afp.com/doc.afp.com.338M2TC;Feb 7, 2023;Sekretaris Jenderal Perserikatan Bangsa-Bangsa;António Guterres
Claim by jokowpnctbv:;Pengikut akun TikTok Jokowi akan mendapat bantuan tunai;Salah;https://periksafakta.afp.com/doc.afp.com.33T747G;Aug 29, 2023;Joko Widodo;TikTok
Claim by Berbagai sumber:;Presiden Jokowi tunjuk Agus Harimurti Yudhoyono sebagai menpora;Salah;https://periksafakta.afp.com/doc.afp.com.33BV7QN;Mar 23, 2023;Agus Harimurti Yudhoyono;Joko Widodo
Claim by Mbah Djari:;Foto Presiden Jokowi dan Iriana kunjungi Cak Nun di rumah sakit;Salah;https://periksafakta.afp.com/doc.afp.com.33PA2DT;Jul 18, 2023;Emha Ainun Nadjib;Joko Widodo
Claim by Beberapa sumber:;"Presiden Jokowi dipilih PBB untuk memimpin ""satgas penanganan krisis global""";Sesat;https://periksafakta.afp.com/doc.afp.com.32FM9V7;Aug 1, 2022;Joko Widodo;Perserikatan Bangsa-Bangsa
Claim by Berbagai sumber:;Uang baru pecahan Rp 100 bergambar Presiden Joko Widodo;Salah;https://periksafakta.afp.com/doc.afp.com.32ED6U4;Jul 14, 2022;Joko Widodo;Uang
Claim by Berbagai sumber:;Presiden Jokowi nyatakan perang dengan Malaysia;Salah;https://periksafakta.afp.com/doc.afp.com.32FT3G7;Aug 1, 2022;Joko Widodo;Malaysia
Claim by Grup-grup WhatsApp:;Presiden Jokowi telah berhasil pulangkan uang negara hingga Rp 11 ribu triliun yang disimpan koruptor di Swiss;Keliru;https://cekfakta.tempo.co/fakta/872/fakta-atau-hoaks-benarkah-presiden-jokowi-telah-berhasil-pulangkan-uang-11-ribu-t-dari-swiss;Jul 8, 2020;Joko Widodo;Uang
Claim by Akun Facebook Suhermanto Yasduri:;Foto yang diklaim sebagai foto Presiden Jokowi yang salah posisi bersedekap saat salat;Keliru;https://cekfakta.tempo.co/fakta/829/fakta-atau-hoaks-benarkah-ini-foto-presiden-jokowi-yang-salah-posisi-bersedekap-saat-salat;Jun 12, 2020;Joko Widodo;Salat
Claim by Akun-akun Facebook:;Peneliti Australia menyebut Jokowi sebagai presiden tak berkemampuan tapi memiliki daya rusak;Keliru;https://cekfakta.tempo.co/fakta/990/fakta-atau-hoaks-benarkah-jokowi-disebut-tak-berkemampuan-tapi-punya-daya-rusak-oleh-peneliti-australia;Sep 9, 2020;Joko Widodo;Peneliti
Claim by Kanal YouTube Humanity Of Ulama:;Mahkamah Agung telah menetapkan Joko Widodo sebagai tersangka dalam kasus kebakaran hutan dan lahan.;Sesat;https://cekfakta.tempo.co/fakta/348/fakta-atau-hoaks-benarkah-ma-telah-menetapkan-jokowi-sebagai-tersangka-kasus-kebakaran-hutan-dan-lahan;Jul 24, 2019;Kebakaran hutan;Joko Widodo
Claim by Situs Reportase Indonesia:;Presiden Jokowi akan menjual separuh dari Kaltim untuk pemindahan ibu kota;Sesat;https://cekfakta.tempo.co/fakta/670/fakta-atau-hoaks-benarkah-presiden-jokowi-akan-jual-separuh-kaltim-untuk-pemindahan-ibu-kota;Mar 13, 2020;Joko Widodo;Ibu Kota
Claim by Beredar di Facebook:;Kakek dan ayah Presiden Jokowi pernah menjadi Ketua PKI Boyolali;Keliru;https://cekfakta.tempo.co/fakta/477/fakta-atau-hoaks-benarkah-ayah-dan-kakek-jokowi-pernah-menjadi-ketua-pki-boyolali;Nov 14, 2019;Joko Widodo;Partai Komunis Indonesia
Claim by Beredar di YouTube:;Presiden Jokowi mundur dari jabatannya;Keliru;https://cekfakta.tempo.co/fakta/396/fakta-atau-hoaks-benarkah-presiden-jokowi-mundur-dari-jabatannya;Sep 10, 2019;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Akun Facebook:;Tidak ada lagi warga yang meminta bersalaman dan selfie dengan Presiden Jokowi saat berkunjung ke Yogyakarta karena muak dan jijik;Sesat;https://cekfakta.tempo.co/fakta/971/fakta-atau-hoaks-benarkah-tak-ada-lagi-warga-yang-minta-salaman-dan-selfie-ke-jokowi-karena-muak-dan-jijik;Sep 1, 2020;Joko Widodo;Swafoto
Claim by Berbagai sumber:;Foto Presiden Jokowi menyelamati Anies Baswedan atas penerimaan gelar 'pahlawan internasional';Salah;https://periksafakta.afp.com/http%253A%252F%252Fdoc.afp.com%252F9PV96U-1;Oct 19, 2021;Anies Baswedan;Joko Widodo
Claim by Berbagai sumber:;Foto Presiden Jokowi menyelamati Anies Baswedan atas penerimaan gelar 'pahlawan internasional';Salah;https://periksafakta.afp.com/http%253A%252F%252Fdoc.afp.com%252F9PV96U-1;Oct 19, 2021;Anies Baswedan;Joko Widodo
